num_date_time,answer
1_20220825 00,2096.181396484375
1_20220825 01,1907.7415771484375
1_20220825 02,1667.218505859375
1_20220825 03,1657.4373779296875
1_20220825 04,1626.4217529296875
1_20220825 05,1742.5977783203125
1_20220825 06,2054.038818359375
1_20220825 07,2502.1552734375
1_20220825 08,2835.334228515625
1_20220825 09,3106.48583984375
1_20220825 10,3913.0302734375
1_20220825 11,4159.33447265625
1_20220825 12,4272.22265625
1_20220825 13,4351.181640625
1_20220825 14,4136.82373046875
1_20220825 15,3817.4443359375
1_20220825 16,3839.55029296875
1_20220825 17,3388.315185546875
1_20220825 18,2864.80810546875
1_20220825 19,2679.01220703125
1_20220825 20,2459.9912109375
1_20220825 21,2017.884765625
1_20220825 22,1364.3851318359375
1_20220825 23,1896.9967041015625
1_20220826 00,1891.820068359375
1_20220826 01,1856.1466064453125
1_20220826 02,1760.1357421875
1_20220826 03,1713.626953125
1_20220826 04,1731.473876953125
1_20220826 05,1842.691162109375
1_20220826 06,1934.367431640625
1_20220826 07,2297.9873046875
1_20220826 08,2655.1845703125
1_20220826 09,3119.64794921875
1_20220826 10,3941.110595703125
1_20220826 11,4188.00634765625
1_20220826 12,4143.599609375
1_20220826 13,4155.62939453125
1_20220826 14,4132.02099609375
1_20220826 15,4282.26171875
1_20220826 16,4229.4951171875
1_20220826 17,3571.722412109375
1_20220826 18,3012.71142578125
1_20220826 19,2826.321533203125
1_20220826 20,2587.308837890625
1_20220826 21,2247.959228515625
1_20220826 22,1537.1368408203125
1_20220826 23,2223.25048828125
1_20220827 00,2206.5625
1_20220827 01,2043.0643310546875
1_20220827 02,1700.1387939453125
1_20220827 03,1614.9183349609375
1_20220827 04,1594.934326171875
1_20220827 05,1747.220703125
1_20220827 06,1840.3165283203125
1_20220827 07,2165.33203125
1_20220827 08,2337.74169921875
1_20220827 09,2634.49560546875
1_20220827 10,3200.911865234375
1_20220827 11,3384.8916015625
1_20220827 12,3353.428466796875
1_20220827 13,3366.71728515625
1_20220827 14,3380.800048828125
1_20220827 15,3344.406005859375
1_20220827 16,3319.064208984375
1_20220827 17,3093.267333984375
1_20220827 18,2559.46826171875
1_20220827 19,2380.867431640625
1_20220827 20,2170.320068359375
1_20220827 21,1852.47021484375
1_20220827 22,1279.093505859375
1_20220827 23,1759.2757568359375
1_20220828 00,1589.106689453125
1_20220828 01,1482.4962158203125
1_20220828 02,1350.3148193359375
1_20220828 03,1361.5560302734375
1_20220828 04,1362.363525390625
1_20220828 05,1407.2672119140625
1_20220828 06,1554.7142333984375
1_20220828 07,1601.9227294921875
1_20220828 08,1766.401123046875
1_20220828 09,2304.32275390625
1_20220828 10,2713.52685546875
1_20220828 11,2825.306640625
1_20220828 12,2850.50439453125
1_20220828 13,2893.33251953125
1_20220828 14,2935.502197265625
1_20220828 15,2928.9326171875
1_20220828 16,2924.277587890625
1_20220828 17,2865.077880859375
1_20220828 18,2668.57958984375
1_20220828 19,2495.132080078125
1_20220828 20,2376.604736328125
1_20220828 21,2142.75390625
1_20220828 22,1438.073974609375
1_20220828 23,2226.31396484375
1_20220829 00,2119.863037109375
1_20220829 01,1895.28662109375
1_20220829 02,1867.3504638671875
1_20220829 03,1734.570556640625
1_20220829 04,1768.680908203125
1_20220829 05,1817.25146484375
1_20220829 06,1922.0166015625
1_20220829 07,2216.756591796875
1_20220829 08,2534.08056640625
1_20220829 09,2817.68115234375
1_20220829 10,3681.793212890625
1_20220829 11,3850.594482421875
1_20220829 12,3843.83544921875
1_20220829 13,3900.033447265625
1_20220829 14,3860.222900390625
1_20220829 15,3880.82666015625
1_20220829 16,3831.383056640625
1_20220829 17,3201.871826171875
1_20220829 18,2705.667724609375
1_20220829 19,2521.292724609375
1_20220829 20,2264.029052734375
1_20220829 21,1874.069580078125
1_20220829 22,1352.143310546875
1_20220829 23,1837.951171875
1_20220830 00,1840.7994384765625
1_20220830 01,1761.03466796875
1_20220830 02,1651.82177734375
1_20220830 03,1618.1058349609375
1_20220830 04,1644.1798095703125
1_20220830 05,1798.364990234375
1_20220830 06,1865.1986083984375
1_20220830 07,2250.130859375
1_20220830 08,2704.193115234375
1_20220830 09,2904.17529296875
1_20220830 10,3736.287841796875
1_20220830 11,3944.978271484375
1_20220830 12,3945.030029296875
1_20220830 13,3944.500244140625
1_20220830 14,3939.551025390625
1_20220830 15,3864.99951171875
